kv,voltage_V,prop,throttle_pct,current_A,power_W,thrust_g,rpm,efficiency_gW
KV780,14.8,T-MOTOR 9545B,50.0,2.1,31.08,293.0,4260.0,9.43
KV780,14.8,T-MOTOR 9545B,65.0,4.0,59.2,476.0,5300.0,8.04
KV780,14.8,T-MOTOR 9545B,75.0,5.6,82.88,605.0,5960.0,7.3
KV780,14.8,T-MOTOR 9545B,85.0,7.4,109.52,742.0,6000.0,6.78
KV780,14.8,T-MOTOR 9545B,100.0,10.3,152.44,918.0,7350.0,6.02
KV920,11.1,T-MOTOR 9545B,50.0,1.6,17.76,176.0,4400.0,9.91
KV920,11.1,T-MOTOR 9545B,65.0,3.0,33.3,289.0,5500.0,8.68
KV920,11.1,T-MOTOR 9545B,75.0,4.3,47.73,385.0,6400.0,8.07
KV920,11.1,T-MOTOR 9545B,85.0,5.8,64.38,475.0,7000.0,7.38
KV920,11.1,T-MOTOR 9545B,100.0,8.1,89.91,617.0,7800.0,6.86
